DrugID,Drug_Target
DB02222,4860
DB02230,4860
DB02377,4860
DB02391,4860
DB02568,4860
DB02796,4860
DB02857,4860
DB03101,4860
DB03551,4860
DB03609,4860
DB03881,4860
DB04076,4860
DB04260,4860
DB04753,4860
DB04754,4860
DB04757,4860
DB00157,7299
DB00548,7299
DB00600,7299
DB01055,7299
DB00114,18
DB00119,18
DB00142,18
DB00160,18
DB00313,18
DB00780,18
DB01080,18
DB01699,18
DB04235,18
DB00131,5564
DB00331,5564
DB00162,5949
DB00163,23541
DB03796,23541
DB00141,2683
DB02696,2683
DB03013,2683
DB03501,2683
DB03685,2683
DB03814,2683
DB00157,3030
DB00171,22978
DB00811,22978
DB00154,5743
DB00159,5743
DB00233,5743
DB00244,5743
DB00316,5743
DB00328,5743
DB00461,5743
DB00465,5743
DB00469,5743
DB00480,5743
DB00482,5743
DB00500,5743
DB00533,5743
DB00554,5743
DB00573,5743
DB00580,5743
DB00586,5743
DB00605,5743
DB00712,5743
DB00749,5743
DB00784,5743
DB00788,5743
DB00795,5743
DB00812,5743
DB00814,5743
DB00821,5743
DB00861,5743
DB00870,5743
DB00936,5743
DB00939,5743
DB00945,5743
DB00963,5743
DB00991,5743
DB01009,5743
DB01014,5743
DB01041,5743
DB01050,5743
DB01283,5743
DB01294,5743
DB01397,5743
DB01398,5743
DB01399,5743
DB01401,5743
DB01404,5743
DB01419,5743
DB01435,5743
DB01600,5743
DB01628,5743
DB02266,5743
DB02709,5743
DB03014,5743
DB03477,5743
DB03866,5743
DB04552,5743
DB04743,5743
DB06725,5743
DB06802,5743
DB00125,4846
DB00155,4846
DB00360,4846
DB01110,4846
DB01686,4846
DB01821,4846
DB01833,4846
DB01997,4846
DB02027,4846
DB02044,4846
DB02048,4846
DB02077,4846
DB02141,4846
DB02207,4846
DB02234,4846
DB02335,4846
DB02589,4846
DB02692,4846
DB02911,4846
DB02979,4846
DB02994,4846
DB03014,4846
DB03065,4846
DB03100,4846
DB03144,4846
DB03305,4846
